name,group,display,image,birthday,keywords,genre
다솜,2EYES,2EYES - 다솜,https://i.namu.wiki/i/zzdCPf4eb_RUS8c30cKJ3e-pYYQ7p_m3zurkDzbvVZYbZMk15MEcC8Pq3494UofzzOEO9tkJhcn8KhjPaTsbQEdRNhcSwqQmnFrmUHFQwi6XsKZ3cXi6hP1nSJ-Oe9fe5b8y2Lu4JIhL9f2DiHiWvw.webp,1993-11-13,"['eyes', '다솜', '2EYES', '2eyes']",1
다은,2EYES,2EYES - 다은,https://i.namu.wiki/i/P2xnZaKg1cf0nDLfg4cLrUYh2ZOVImuB5H2p_RCCUoLP6exqx9caCOOLtqBjTWYRi8YRBzHWD5CoLCnF6HyquGB2by6QbV2sDfuwNWF3_XZc8D-bsoGjAxnIDwqQorUDmEHEvSUWbivFaE7aeQCKAg.webp,1994-06-03,"['2EYES', 'eyes', '다은', '2eyes']",1
향숙,2EYES,2EYES - 향숙,https://i.namu.wiki/i/4kBCTGV-O8fRwhMvliQ02qkcgAaOIF-tEB5a2F8yNF-FEI31s6_h0U9QrMfp4yoTQwNHJtXxkyNV-GZtAtBbHf1Wtkwu_i7soPjS3PdUMy0049cZRgpKaGGJ0i5ZBSGvAQ0Oi4v3i9M_trygZNWj1Q.webp,1991-04-24,"['eyes', '2EYES', '2eyes', '향숙']",1
혜린,2EYES,2EYES - 혜린,https://i.namu.wiki/i/zzdCPf4eb_RUS8c30cKJ3e-pYYQ7p_m3zurkDzbvVZYbZMk15MEcC8Pq3494UofzzOEO9tkJhcn8KhjPaTsbQEdRNhcSwqQmnFrmUHFQwi6XsKZ3cXi6hP1nSJ-Oe9fe5b8y2Lu4JIhL9f2DiHiWvw.webp,1993-07-23.,"['eyes', '혜린', '2EYES', '2eyes']",1
다라,2NE1,2NE1 - 다라,https://i.namu.wiki/i/ecgaWjtvx1JsG5M4r62KtjmzwU6-az74Ui5KHBpQibDwk49inhJB3LB9kX2KxVHfzjHJYJKxjquqdtEVzgNcvrqkYHJarlQSLMLa2tjz7vt-ouwRD0YF5L0kh5ARTvYfRCdwEd0thS2ydwwEsVuWmg.webp,1984-11-12,"['2NE1', '2ne1', 'ne', '다라']",1
민지,2NE1,2NE1 - 민지,https://i.namu.wiki/i/4BPL4bjr_4OOXbnWerBJuuviUq1nFVntTe2kVKoW7kgqnuBcKJMVT_mwZQ4gg9EJptw8Xaea_C11IN7jvXC9f1vmTFjaDOXZxHUTQJ5RMaM4NKBU7mblPGu7Fywxsw7zrwY0H0q08MrDPixKWV0mCw.webp,1994-01-18,"['2NE1', '2ne1', 'ne', '민지']",1
박봄,2NE1,2NE1 - 박봄,https://i.namu.wiki/i/yBS-5vfEF98DONWkdsywvpeC1jDTxldQMPskUMQ4QlELp3ov2na134WjNbUF0gHcJt_FC_3JFG5ZNrOTEHxdGNcrHKszrzxaBjT4fosxrNqbFh5Hm3bdHGIHcZUmWsmcw_WgT3NNJsSdhx5isRf0ww.webp,1984-03-24,"['박봄', '2NE1', '2ne1', 'ne']",1
씨엘,2NE1,2NE1 - 씨엘,https://i.namu.wiki/i/2rYTaZOG2yXfvHMhsXcupXUr8-lChKCP7erysjH2tQTCyB1lqysocAlPRNM518BXbjb-E_viVR-9h8Jvdt7d3BZSWHj788n2YXBqBkz4oIOnD63BTko7us66ErqoDpQ056kcmpB3iwRhdJuMmfYp6w.webp,1991-02-26,"['씨엘', '2NE1', '2ne1', 'ne']",1
가윤,2Yoon,2Yoon - 가윤,https://i.namu.wiki/i/idneYqu733ICM867mFTzNgjpZvnK9PlpNXMsPtbxAPJk3ATtGJ1uZ5_Rf_BMbmaMqbVj7ZJHdJ2kdEIPtYoB6yiN6ajGfgnzKcQ8H2dyPYmyc_1lkWbKePW2_Fm_QosTre5fHxfUmM_FanSYZFxEkA.webp,1990-05-18,"['2yoon', 'yoon', '2YOON', '가윤', '2Yoon']",1
전지윤,2Yoon,2Yoon - 전지윤,https://i.namu.wiki/i/WAmb--i2uEs7CAOlJVzqCpHm7eV4WHR3MOlwnaPbhNthC5cd41JlYrRHWipklEdhU3clAM1fSzJsonjz91wxFi8Fn3lQKPyzB4XuNjmhnGG5RHYymisNp7jvA5E1p7IGkAWGXga0Irpk6AvCng75UA.webp,1990-10-15,"['전지윤', '2yoon', 'yoon', '2YOON', '2Yoon']",1
유림,3YE,3YE - 유림,https://i.namu.wiki/i/0AmE4pLA_nFydfVwt0fsde_OPce-loumWSzZmtZJF4ZueJ9DvZGECE_3XH8khlGbFuYM0VcgSpOPhjoLurgIN2wkSPSBC_C8qnf9UdTobRaBsHPLKpW4JbtLVg7qW3QhVilvj6RccjalOvrtt26v1g.webp,1998-04-13,"['3ye', 'ye', '유림', '3YE']",1
유지,3YE,3YE - 유지,https://i.namu.wiki/i/wHADqzzAHbXCPT4v9Ra--SdwMxdE5kqFFdwKAmDJOgEau5nwuNfQF9Vtlf6OKFNomaSHuviU5e2zJ_XMCmP_xO6kqxbF0f23AplkfMxCKy6Rs1UMwssPmscbYmmcoIqR_AEMDbTNPp1ZGLvyelXJVw.webp,1998-11-25,"['3ye', 'ye', '유지', '3YE']",1
하은,3YE,3YE - 하은,https://i.namu.wiki/i/P_uKL5vxNb__ZLBx7greC14MaXhNkFAoc_aH9uij4z9Ma-JkrVeSxsdNUe48YArJilUk27V5sPFzavH8jpGyWGjkR6WPiDeeVlQixSw-SCRXv2n1xMu4qayKemu4obyW9yfC6rUgYN0d3NFnhoHEGw.webp,1999-03-12,"['3ye', 'ye', '하은', '3YE']",1
가윤,4minute,4minute - 가윤,https://i.namu.wiki/i/idneYqu733ICM867mFTzNgjpZvnK9PlpNXMsPtbxAPJk3ATtGJ1uZ5_Rf_BMbmaMqbVj7ZJHdJ2kdEIPtYoB6yiN6ajGfgnzKcQ8H2dyPYmyc_1lkWbKePW2_Fm_QosTre5fHxfUmM_FanSYZFxEkA.webp,1990-05-18,"['minute', '4MINUTE', '가윤', '4minute']",1
소현,4minute,4minute - 소현,https://i.namu.wiki/i/0JcNpYvNMuuJQMeoqnIlkuyyzW6-BvcK9TNqqqYBnsJ75YoLEIZeHs-FYy7jNQgFKm8rzvm12LAy-rWUbGJ9WCxZLPQ8X15ReUZavrhbdSRIWHSbstQThhVCpC19qXofqlCGeWkfFYnoJ0hrDkKzhg.webp,1994-08-30,"['minute', '4MINUTE', '4minute', '소현']",1
남남지현,4minute,4minute - 남지현,https://i.namu.wiki/i/r6ZnvhiOhdfdg63k_fW6_yeeoyhEhIUCzyvkXWb5V9x0xDEl5A30g4wt_bHsnZuiC8mBpUmYX7CNfD6X2sKgqw8xzDGIrujEDxrw5mR_QOOLLS_AwmNWMgVF4LdINnVkLSu3hggifUZJEZ6Efo0RrQ.webp,1990-01-09,"['minute', '남지현', '4MINUTE', '4minute']",1
전지윤,4minute,4minute - 전지윤,https://i.namu.wiki/i/WAmb--i2uEs7CAOlJVzqCpHm7eV4WHR3MOlwnaPbhNthC5cd41JlYrRHWipklEdhU3clAM1fSzJsonjz91wxFi8Fn3lQKPyzB4XuNjmhnGG5RHYymisNp7jvA5E1p7IGkAWGXga0Irpk6AvCng75UA.webp,1990-10-15,"['minute', '4MINUTE', '4minute', '전지윤']",1
현아,4minute,4minute - 현아,https://i.namu.wiki/i/_Vc4_euKtgp8d08HVVplD7lrAPZEbnuEHyHfb1q3W0rl5PeIzUKB_ICdLf73lTIhIAgWQhVeg1z_DHA3bkm7Jx7HWhqASDQ2suvwMwcEL7XtSvivRz-jURzErjhF9M4ahlU0Fd59Pr9gX2yhAf0Vrg.webp,1992-06-06,"['현아', '4MINUTE', 'minute', '4minute']",1
라헬,A.De,A.De - 라헬,https://i.namu.wiki/i/fmv4HM08LW6eIIifSWYJ3-zBCyLklDeiITabozKjWnekRM5Kv-4vVxuIC7uZ83AadquxQNszyog2XX0D28Pmu7SWX9EAwgAe6BfedWYz34T0K41Qmckk0b3K_dJcpELse68Ol3vpklo3X0-p3TBK6A.webp,1996-10-20,"['A.DE', 'ade', '라헬', 'a.de', 'A.De']",1
미소,A.De,A.De - 미소,https://i.namu.wiki/i/3OuPpvneuqnQXxkWlyyt4uEosv-GYy6_9lmy3nGliypNvHT2lJJA4HVGe8VIYL_T2K3u45Qy0OueS0Tuu9o5DRAjrVxRIqU9EeyMFmiRsYIQcLL-Amu4C9t3tVV4jaANBsVG8WbG2R71NLCHDkX3OA.webp,2000-04-29,"['A.DE', 'ade', 'a.de', 'A.De', '미소']",1
수연,A.De,A.De - 수연,https://i.namu.wiki/i/yB3LX2PgJgAd-bMrhhDuz8UuMh0dBkhWvlStFkOWr_e_TAgzK29b75-w8oGqh7NKWnI_ZoX4Le7zXkEGaQtzc53UH1GQiaaUFWaMXD8GwAW00dGgDNPeUle07zBKRSd6tHctbP9fgIpRpYER1Hm_Wg.webp,1993-08-07,"['A.DE', 'ade', 'a.de', 'A.De', '수연']",1
여린,A.De,A.De - 여린,https://i.namu.wiki/i/kESohkes89xUHfqoT1ypvqgsO656_n_6lcbVoE1U6OMsou6fx9aSczHTZ57Ar1hV_HCXsGGlR5irnaMk3mX1D6PiNS8r31R872DzzHEmCrcgrIbGoxz5yyt9_IpDQ4_GdEguDWzUejdAbK8vgRNBGA.webp,1994-06-15,"['A.DE', 'ade', 'a.de', '여린', 'A.De']",1
지서,A.De,A.De - 지서,https://i.namu.wiki/i/RSTu8MgLjJOwJCydJRyisVroLEm_TGO3sle9PbMlnl7gpmMpZOT00g0EnkM0CDY5YmV08yMvQ6OOK1BEXaMyVE5zwaDiPf0hSw1VJ9T7EYdu4dpUpdQURLWoJdQzWVIGVt1AHzoQMXw5TWm6un2Bcw.webp,1994-11-26,"['A.DE', 'ade', 'a.de', 'A.De', '지서']",1
초윤,A.De,A.De - 초윤,https://i.namu.wiki/i/TwMs7-PQQlnuA2tvghPtMqf1DJ1MgNqanBLpvCi14k4qwIYw3_SSrnKGCiUPi9gbns42SJZr_qu3D8Z70VxFhetcf85x-OIqGdOQYqItY12qGJNVrXoE-lPq-I73F1M5xi-dYuudperd2LHBtLn2ig.webp,1998-07-19,"['초윤', 'A.DE', 'ade', 'a.de', 'A.De']",1
해영,A.De,A.De - 해영,https://i.namu.wiki/i/e8oJxl2dxzO6NoFpDpNee3UG7ryeJXFfpWu-_lsjmkqU6-6vIEITk_o99p_ggjA2anRWNakdUxxC-I9bl7WapvPwvPQB2ux2oS4tUqp-58W4P3qbLcv-cw2hQOAP2sr7nlRDPhYy-KVzyzYkpVnqZQ.webp,1998-05-13,"['A.DE', 'ade', 'a.de', 'A.De', '해영']",1
쥬리,AKB48,AKB48 - 쥬리,https://i.namu.wiki/i/Bawn1TE01SwwXcKGxosjZ_mYtOxgurJ77BnErarwWsIrH6DSwm8uzTwYH5UUqbALNdDjIMjGvt6wxozZHO1nHvo7NyCD1vf9W0rvPsC32bacemD-8Qym1eCntSTrOLDRSRL68CCIQyqPGtcd5ZwdfA.webp,1997-10-03,"['AKB48', 'akb48', '쥬리', 'akb']",1
이수현,AKMU,AKMU - 이수현,https://i.namu.wiki/i/As1kzjs_khQJVJ7HkT0kgxe07BE4XHSIeM0KT4HLmP6Ghqp0Al9dHON_mlNktooIqLEMWts6SsFUrlOiMy0x_9ImpJLXP-e5YBx-B-uKX3NlwHTuNU1gK9m6cwjqsi6hdc34qOrFYS-yCJSZahX2Pw.webp,1999-05-04,"['AKMU', '이수현', 'akmu']",1
달린,ANS,ANS - 달린,https://i.namu.wiki/i/Oj8ARnqe9GZCQ_E1W5KMphEiO8Ubk5k2ZEKbil9sHFXPA52kqV75YGX6VTGcv0QugjXt_o9YUfe8530i4LpiqmZn8FVH1-8wuR6eWj6kBxjm3TPpvVIBFflrLnjU3W5DnZdue9P4JaOUub-pMkaacQ.webp,1999-08-27,"['달린', 'ANS', 'ans']",1
담이,ANS,ANS - 담이,https://i.namu.wiki/i/LkwWMRiwVuIiwv1ZFZbS6B8twKc4-rRFUkTwXG6YWs9IDmDWI_biRWP9G_1vlxrxLKBra9S_YvMCTjp9oVWz5TxllZHDu-iuSfRUGG-4Z-vUOFy5d56ujl7u2iHfdzLPnHuCy9KjzlVGh-LYFvoYmw.webp,1992-06-29,"['ANS', '담이', 'ans']",1
라온,ANS,ANS - 라온,https://i.namu.wiki/i/vZrBfmAotejgvOnSVdvVMv60evHFghije6xWvxJZ0p5g3rCROwrPhv84OHZEcEkppcUwyIeRUC2P4PdLs8G3XgErz2gZr0uEAUzkHeqxMTpp9fpGtHDWCrsbpaKVE-SiVn7DbL3_llcRaV71Jsvymw.webp,2000-01-21,"['ANS', '라온', 'ans']",1
로연,ANS,ANS - 로연,https://i.namu.wiki/i/4g-P4Lc02vm9yVLE4VKgE-DwJkOrqH0sE7VfoL3VGGPwScBtH-i1aruvf8hNzI1h9j_n-1jAz9PDYBPblRiQZY1XfSQcotgMbm2K-hj0AgjuZ4jfoLz198Dxibr6yFmXjY1R-UsXZVPoN7KAhPlf-A.webp,1998-2-20,"['ANS', '로연', 'ans']",1
리나,ANS,ANS - 리나,https://i.namu.wiki/i/w0byvaTEqK9uHXFZp1jxWneKVUPbr81TSlv_6BVfBLY4_KTRzIeK5-WnwPB5nE005mnNWXrYVWIbhUgC9bvL2CjBq9rt6lMUB1i7JOEmxIypCWKsCdsAPTcqUAzx_GIEP4EGH_gg6u9fRZpYNlWIUg.webp,1997-07-27,"['ANS', '리나', 'ans']",1
비안,ANS,ANS - 비안,https://i.namu.wiki/i/P7SY8pCDPaeIIXsR9zcZTGIXFqcZP6GnYymqF-78d_N6rcuDw4ps_Is-Hu9lgci4BN-xj9z2uOMW6L6Lm78RKA.webp,2001-02-13,"['비안', 'ANS', 'ans']",1
제이,ANS,ANS - 제이,https://i.namu.wiki/i/9sx0jg3-lyl5zonxgXfNcjJ70Z0UGYvDZtcIsHKO3LI3jsNrOaBhiKSGnzDr6pgScp62VBqSW3Xl0fW8C_wg4pCCeFfly3zVMss69_bXNVNHjMj-82kQ10XNVdEP4TMHlQhjsmZb0Kx-LKtX7k-lrA.webp,1998-02-12,"['제이', 'ANS', 'ans']",1
해나,ANS,ANS - 해나,https://i.namu.wiki/i/b4nHcSROZYm8koxMou1kmbGrYC2T1h3aSb2LU-2kc_1k9jayaU1M-aYRucC48BVSYkA_EMe15NyjNFz1bUJIme84PcLGf3PUHj6mFQZWZklLBJgbw90HT3ZM8bhlqqN-Hbww7dj6ac3qVQRQ0_ZoMA.webp,2002-02-19,"['ANS', '해나', 'ans']",1
민아,AOA,AOA - 민아,https://i.namu.wiki/i/U48vh-gxvHMuYdmRNg7hFnmbO4Cwc1lVekiqCWzviX1QH4uJj-QDzAi47vKD-pXsdAp95Usk6OHFbKWoW_nub3LQv5tq-yZg6F2WCnPmKuMURPyICOnh9WKPg-bhh1fNEyTa0wF8LrVz4IjHZ572Ng.webp,1993-09-21,"['AOA', '민아', 'aoa']",1
박초아,AOA,AOA - 박초아,https://i.namu.wiki/i/ifKLfqoU2Pqhok0IYKIMAoSRByZzPsJslde7wZXXybA0K3uTVuqWFZoGClKA8GSEPADIKAGi6dB__Xdpl2XiWuDLms0HedTWlAGip1367ma_EziNaSDjyOognig4IoL3YKkIbyDwes1N0l64N-XAHQ.webp,1990-03-06,"['박초아', 'AOA', 'aoa']",1
서유경,AOA,AOA - 서유경,https://i.namu.wiki/i/pVnM28UkDpcMZ34C4X1OBbSVM2FRroqUPBiOn5OgVneFfrObrFAui0hCQGN0u1mRb5zcNrn6kihkPiTH832Ww0CObNZLDH4U159Jd9dV_L_yLdyor96fBKYqmzu7Gw047U63ji-UMDkemkXQgYbzsg.webp,1993-03-15,"['서유경', 'AOA', 'aoa']",1
설현,AOA,AOA - 설현,https://i.namu.wiki/i/yYwIkPrhacc1kL9cGINDRuSLDC0N9IrTUIpA9q9v2a_b4ldPsuPUDSKBv6MotK4Qa9Lz9OqRcj6FcKAS_v0p0DgwLO5o4V6O81DFdxNSL7n7yO6oF7GfYMJQRksMGJpG8DP4w2785irYd-AdkEcfig.webp,1995-01-03,"['AOA', '설현', 'aoa']",1
유나,AOA,AOA - 유나,https://i.namu.wiki/i/bf7kOqsccyz3q56DDAFFLCxRW0vRsyiTSXBOj-sp0dGeXE030DsWkZtcHVmYxSClRInZC8jZ2tBQhW6MZRaUrsA7BG1UN1C5i3hYnBCBYLz4u8jSKUEO_ktPHNUjUIwX_v8y3-5-RIMKvUtpYrFk6w.webp,1992-12-30,"['AOA', '유나', 'aoa']",1
임도화,AOA,AOA - 임도화,https://i.namu.wiki/i/lDTiu-hPjfia5yATSjp1Riw7rv-eknN6IXjASCrz4Js3P_iFLJNKwhmWBNDHrDP7PPPQsZloUVX3xeZyMIHmq7ws9bdKKsQK1qew8zYWVpdRKOWD42dOl_PChIqDtPIlYHjL7mOV9KlAkruEay55ng.webp,1996-06-19,"['AOA', '임도화', 'aoa']",1
지민,AOA,AOA - 지민,https://i.namu.wiki/i/OaoSvpS5Ho5gX5_ETCD9qEfKmEDpDmFsK-jgfCs0Zgc5IsjFeE167snvjtSMdKiToS_t_jDHO54PbP_81ZYScFKTdjYY5wr4ewBwWQLW1KzMb5YfFGYKG_rPa7DXNJGqTXHc2tj4b3OywNlbCv8gZQ.webp,1991-01-08,"['AOA', '지민', 'aoa']",1
혜정,AOA,AOA - 혜정,https://i.namu.wiki/i/hv6i70H1ZOVLcXDL5OKbMI4mN_vZaOkzelVBHeLqK1eEbdjDnyGDsQK6xCnJMXbA-7OXejexLODxrUUmYw3AQnMPwWhqoeSZyYL17pteS3TCgdbmBZTvrNLRqTBSo8Ro-XWcmv3Dv2V7jcL5XOPN9g.webp,1993-08-10,"['AOA', '혜정', 'aoa']",1
김립,ARTMS,ARTMS - 김립,https://i.namu.wiki/i/tkfdYnYS3PzQY0lcTfema4D24yNvD8cRw8Y97RQfFgxgCzmGVT4UQEDCzS0DwSsPUK-dn8KIB0AX18QY4EI9Dxpy8doRiREklTYO7fTbBWxz2P01Ayd89mWT6wwEJ0hEcP5hZympT1B34x8ihQMPBw.webp,1999-02-10,"['김립', 'artms', 'ARTMS']",1
진솔,ARTMS,ARTMS - 진솔,https://i.namu.wiki/i/ezq0RI8k-_eWDVoIAYKzhsJvQ9iDxBRbmFS7fBCFfDnbCG3v4J_Qn2bjjbPTC7fxnLWjSLdwbhpfoY-r-faovvdAhsNI5P14D14X-q64LAhB66HWl3x1d3Ja1E3jYmyPKxS0vsW19hSxVGe9_W8cbg.webp,1997-06-13,"['artms', 'ARTMS', '진솔']",1
최리,ARTMS,ARTMS - 최리,https://i.namu.wiki/i/pkKiNvdUBBnBeqx1pb4tEbklxRNm9Tk5RQhmsbuLZ9FDR-YvSCdV-eWa7wMVNlk3aKt7AQZkkSOlSn-P5_Tb0SX5RRbKN8owJf404X0u90qrOBrQvKCh6T5UecBoifc9-yi2w0oBnn16EjXhdmVE4g.webp,2001-06-04,"['최리', 'artms', 'ARTMS']",1
하슬,ARTMS,ARTMS - 하슬,https://i.namu.wiki/i/wVPYCavf5VEqDeqhV0BTFsFEYzxYklONCvW5Pb8YRvH9NWkq5JZnBq9xX6ylAzoqzvJ9HjtoO5QsXcZrW84F-ZpcIr_OcRXYKJU-0I0a7Uexq0IVBYWnJImts7m1lwyYWKS4uTdbSeJWFahwr0qiGA.webp,1997-08-18,"['artms', '하슬', 'ARTMS']",1
희진,ARTMS,ARTMS - 희진,https://i.namu.wiki/i/YPxY2mi_xf_5IvhWWMdzlnNFvfesFbrSCzVQGl3zphIVc61M48XpCg2waL1Ftin-BV2u6eomfGStNTMC7zjZ33VpJWFdoQpZNrJAnPw4ugPIiHJsw6S_Ut9l0K8qslECCv7Aq2BBQZYz7Oa_S6V7Tg.webp,2000-10-19,"['artms', '희진', 'ARTMS']",1
공유빈,Acid Angel from Asia,Acid Angel from Asia - 공유빈,https://i.namu.wiki/i/2NdgtvUIy4Vu5xcTfHqaW4fl0woYfgs5XlGOXfbfExOMjTo8jO_b0qhdEHDLpkMVt8YVvrXgO8WTrQBPV9dQOkv7zoGW4gLRjAG3twPZR1KaVpiyZ2cFMEDJByhbgLTdpfmEiDVfBowajCYlu5evjA.webp,2005-02-03,"['공유빈', 'Acid Angel from Asia', 'acidangelfromasia', 'acid angel from asia', 'ACID ANGEL FROM ASIA']",1
김나경,Acid Angel from Asia,Acid Angel from Asia - 김나경,https://i.namu.wiki/i/6dRrmNrUbpKPjLcFu9VHINpBZj86Xz6Bj1OC2LdAY6aLplLDpDBHqaIYmo7Y45nKg2y4t_hFoYPmVO5ArH0ZPdr3_6zMJBm7q4DP7M0zrpaKxXMlzckV6aGvfcQVjY_X6PNDMIacU__sLOYYQiyAag.webp,2002-10-13,"['김나경', '나경', 'acidangelfromasia', 'Acid Angel from Asia', 'acid angel from asia', 'ACID ANGEL FROM ASIA']",1
김유연,Acid Angel from Asia,Acid Angel from Asia - 김유연,https://i.namu.wiki/i/FwMNz-eHnXPVXNOZHwnszFYE_WYGCYTnxpO80ec5N2JAzLOnejpoDwI3FKhhY2kn1sOg1qxqQ5DXjlCZCc761xKBfavmNUbDgM2qt3_aD9DZRLyIQEz2R6TbhVyH8htv2CEIRB6wlrnNPWnb-_AFQQ.webp,2001-02-09,"['acidangelfromasia', 'Acid Angel from Asia', '김유연', '유연', 'acid angel from asia', 'ACID ANGEL FROM ASIA']",1
정혜린,Acid Angel from Asia,Acid Angel from Asia - 정혜린,https://i.namu.wiki/i/B7RK45YwMKNr4NPJhELpAsMV5ITyxMFL4o5RZzwOuhe-i7h4jtfTmZ_THAwvliVjKYC2Pm9k-kkU2JMX_V84dlahQc8dBZWAZJOrucQrM0xKkssMq0devo0Xk3j_NfkaFbrSYEKWr2-6NZufE6U_3g.webp,2007-04-12,"['acidangelfromasia', 'Acid Angel from Asia', 'acid angel from asia', '정혜린', '혜린', 'ACID ANGEL FROM ASIA']",1
서원,Adya,Adya - 서원,https://i.namu.wiki/i/A-LP7zuskgT01RHsRt9Uz8mP-oTrOfYxFH8mTXHlVZSovzMonwu_ryUdv_qZ1WqX7ttILaNnMPOPZGrjsj3wQ-aPVUDG1_uNh02KeCH91r_Sy6M1Gu2tg2Yx-oSWUFKVPDhBfw7MGVEFDwFEe1lg8A.svg,2004-04-26,"['서원', 'adya', 'Adya', 'ADYA']",1
세나,Adya,Adya - 세나,https://i.namu.wiki/i/A-LP7zuskgT01RHsRt9Uz8mP-oTrOfYxFH8mTXHlVZSovzMonwu_ryUdv_qZ1WqX7ttILaNnMPOPZGrjsj3wQ-aPVUDG1_uNh02KeCH91r_Sy6M1Gu2tg2Yx-oSWUFKVPDhBfw7MGVEFDwFEe1lg8A.svg,2005-10-12,"['adya', '세나', 'Adya', 'ADYA']",1
